@id	@lat	@lon
4222416	53.2870376	-6.3536869
4222418	53.2868514	-6.3491320
4222419	53.2870869	-6.3469731
4238253	53.2751715	-6.3530881
4238254	53.2772125	-6.3486591
4238256	53.2803290	-6.3451699
4238257	53.2823038	-6.3414887
4238258	53.2819553	-6.3403975
4238260	53.2813910	-6.3397139
4238261	53.2803843	-6.3400112
4238263	53.2787721	-6.3420137
4238264	53.2784590	-6.3421939
4238267	53.2779663	-6.3424085
4238269	53.2828183	-6.3474520
4238271	53.2839613	-6.3451232
4238272	53.2848655	-6.3426620
4238273	53.2864972	-6.3405579
4238275	53.2880434	-6.3411543
4238283	53.2856340	-6.3306054
4238284	53.2846508	-6.3302058
4238288	53.2817128	-6.3306385
4238289	53.2802544	-6.3313311
4238291	53.2751105	-6.3310492
4238293	53.2789724	-6.3313933
4238294	53.2790444	-6.3345818
4238295	53.2787215	-6.3358556
4238296	53.2784771	-6.3364093
4238301	53.2894515	-6.3429282
4238302	53.2884415	-6.3540200
25780838	53.2866869	-6.3491798
25780839	53.2868961	-6.3469840
25780840	53.2868885	-6.3545193
25780853	53.2878924	-6.3410994
25781630	53.2748877	-6.3535968
26916541	53.2894522	-6.3308103
26916545	53.2891444	-6.3305957
26916549	53.2888707	-6.3303769
26917980	53.2768473	-6.3311372
26917982	53.2764946	-6.3311054
26932052	53.2782490	-6.3312636
26932053	53.2777633	-6.3311960
26932055	53.2777878	-6.3304560
26932058	53.2758193	-6.3311880
26932060	53.2865659	-6.3312177
29396382	53.2755609	-6.3524076
29396383	53.2769659	-6.3492793
29396384	53.2780242	-6.3471562
29396385	53.2792746	-6.3461808
29396386	53.2810400	-6.3436140
29396387	53.2816853	-6.3420501
29396388	53.2831412	-6.3407640
29396389	53.2837385	-6.3397366
29396390	53.2840980	-6.3387975
29396391	53.2843300	-6.3380261
29396392	53.2844714	-6.3372574
29396393	53.2847006	-6.3363295
29396394	53.2839141	-6.3393343
29396395	53.2848673	-6.3354836
29396396	53.2850179	-6.3350176
29396397	53.2857283	-6.3335262
29396398	53.2861398	-6.3326574
29396399	53.2866347	-6.3309663
29402124	53.2750606	-6.3528340
29402125	53.2748873	-6.3523191
29402126	53.2747820	-6.3515343
29402127	53.2747412	-6.3509885
29402128	53.2745930	-6.3509835
30847268	53.2764714	-6.3329666
30847269	53.2762611	-6.3354232
30847270	53.2760827	-6.3372850
30847271	53.2758177	-6.3393839
30847297	53.2757851	-6.3397914
30847299	53.2753478	-6.3443991
30847319	53.2753185	-6.3447914
30847320	53.2750513	-6.3469739
30847321	53.2749510	-6.3477759
30847322	53.2748085	-6.3489810
30847323	53.2747325	-6.3501565
52871658	53.2895592	-6.3304555
